название;автор;жанр;эпоха;направление;сложность;объём;настроение;темы;тип_конфликта;тип_героя;художественные_средства;страницы;год;авторская_позиция;аудитория;темы_экспертов;слабые_стороны;интерпретации;изображение
Анна Каренина;Толстой;роман;конец_XIX;реализм;средняя;длинное;драматическое;любовь, семья, общество;долг_vs_чувство;жертва;психологизм, реализм, монологи, символизм;800;1877;Объективность, внимание к внутреннему миру героини, исследование природы страсти;Читатели с интересом к психологии отношений и драме человеческих чувств;Противоречие чувства и общественных норм, параллельные сюжетные линии;Споры о моральной оценке поступков героини, авторское отступление о земледелии;Роман как исследование 'живой жизни' против мёртвых условностей, символика железной дороги;1.jpg
Бесы;Достоевский;роман;конец_XIX;реализм;высокая;длинное;трагическое;нигилизм, революция, вера;старое_vs_новое;антигерой;психологизм, символизм, диалоги, гротеск;600;1872;Отрицание нигилизма, стремление к сохранению духовных ценностей, предупреждение об опасности радикализма;Читатели с интересом к политическим и социальным вопросам, истории революционного движения;Разложение личности под влиянием идей, символизм, критика нигилизма;Сложность понимания идеи разрушения, споры о моральной оценке персонажей;Интерпретация как пророчества о революции, анализ 'бесовства' как духовной болезни общества;4.jpg
Борис Годунов;Пушкин;пьеса;начало_XIX;реализм;средняя;короткое;трагическое;власть, честь, вера;добро_vs_зло;антигерой;диалоги, монологи, реализм, фольклор;120;1825;Объективность, стремление к исторической правде, критика беззакония и жестокости власти;Читатели с интересом к истории, политике и психологии власти;Роль народа в истории, психологическая глубина Бориса, тема совести;Избыточность сцен для сценической постановки, споры о моральной оценке власти;Трагедия как отражение народной воли, 'народ безмолвствует' как ключевая фраза;5.jpg
Братья Карамазовы;Достоевский;роман;конец_XIX;реализм;высокая;длинное;философское;вера, семья, свобода;добро_vs_зло;искатель;психологизм, диалоги, монологи, символизм;800;1880;Склонность к вере и духовному возрождению, критика атеизма и морального упадка;Читатели с интересом к философским и религиозным вопросам, готовые к глубоким размышлениям;Философские споры братьев, образы веры и сомнения, духовный выбор каждого героя;Сложность понимания философских диалогов, споры о моральной оценке персонажей;Интерпретация через призму религиозных исканий, 'Легенда о Великом инквизиторе' как ключ к роману;6.jpg
Война и мир;Толстой;эпопея;середина_XIX;реализм;высокая;длинное;философское;война, любовь, семья, честь;долг_vs_чувство;искатель;психологизм, реализм, пейзажи, метафоры, диалоги;1225;1869;Объективность, стремление к исторической правде, внимание к нравственным переживаниям героев;Читатели с интересом к истории, патриотизму и философским размышлениям о смысле жизни;Историческая достоверность, многоплановость образов, философские размышления о роли личности в истории;Излишняя идеализация некоторых героев, споры об исторической достоверности отдельных эпизодов;Интерпретация романа как эпопеи народной жизни, анализ через призму 'мысли народной';7.jpg
Горе от ума;Грибоедов;пьеса;начало_XIX;реализм;средняя;короткое;сатирическое;общество, любовь, свобода;личность_vs_общество;бунтарь;сатира, ирония, диалоги, монологи;100;1825;Сатирическое отношение к фамусовскому обществу, сочувствие к герою-одиночке;Широкая аудитория с интересом к социальной критике и афористичному языку;Психологизм персонажей, афоризмы, 'миллион терзаний' героя;Споры о характере героя, излишняя прямолинейность некоторых монологов;Комедия как драма одиночества умного человека, анализ через призму декабризма;23.jpg
Господа Головлёвы;Салтыков-Щедрин;роман;конец_XIX;сатира;высокая;среднее;трагическое;семья, смерть, общество;добро_vs_зло;антигерой;сатира, гротеск, психологизм, символизм, ирония;400;1880;Критика дворянской среды, показ духовного разложения через гротеск;Читатели с интересом к социальной критике и глубокому психологическому анализу;Распад семьи как метафора разложения общества, образ Иудушки;Тяжёлая атмосфера безысходности, отсутствие положительных героев;Роман как 'семейная хроника' вырождения, Иудушка как тип духовного вампира;22.jpg
Евгений Онегин;Пушкин;роман_в_стихах;начало_XIX;реализм;средняя;среднее;лирическое;любовь, общество, свобода;личность_vs_общество;лишний_человек;ирония, лиризм, реализм, метафоры, диалоги;415;1831;Ироничное, философское отношение к героям, стремление к объективности и многозначности;Широкая читательская аудитория с интересом к анализу быта, характеров и любовных переживаний;Бытовые детали эпохи, литературные реминисценции, открытый финал, образ автора в романе;Излишняя конкретизация бытовых реалий для современного читателя, споры о прототипах;Роман как 'энциклопедия русской жизни', диалог эпох, особая роль лирических отступлений;21.jpg
Жизнь Арсеньева;Бунин;роман;начало_XX;модернизм;средняя;среднее;лирическое;любовь, искусство, смерть, природа;идеал_vs_реальность;искатель;лиризм, автобиографизм, психологизм, пейзажи, метафоры;500;1930;Сочувствие к герою, элегическое осмысление утраченной России;Читатели с интересом к поэтической прозе и духовным исканиям;Становление личности, философские искания, образ утраченной родины;Замедленный темп повествования, отсутствие острого сюжета;Роман как лирическая автобиография, реквием по дореволюционной России;20.jpg
Записки охотника;Тургенев;рассказы;середина_XIX;реализм;низкая;среднее;лирическое;природа, общество, свобода;свобода_vs_система;искатель;реализм, пейзажи, лиризм, диалоги;400;1852;Протест против крепостничества, стремление показать достоинство крестьян;Читатели с интересом к природе, народной жизни и социальным вопросам;Единение человека и природы, духовное превосходство крестьян над помещиками;Некоторая идеализация крестьян, однородность настроения рассказов;Цикл как манифест 'натуральной школы', образ естественного человека по Руссо;2.jpg
